instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;inatividade;efetividade_pos
"_beabio
";beabio_;01/04/2021;31/03/2021;09/03/2023;24;12;;708;
;luciana_mirapalhete;27/03/2022;27/03/2022;27/03/2022;2;1;;0;
;eider_siqueira;06/06/2021;06/06/2021;06/06/2021;2;1;;0;
;maria_aparecida2;02/06/2021;02/06/2021;02/06/2021;2;0;;0;
;almir_herms;15/01/2021;20/01/2021;20/01/2021;2;1;;0;
;neilton_caetano;14/11/2020;13/11/2020;02/09/2023;2;1;;1023;
;paulocvr;05/11/2020;05/11/2020;05/11/2020;2;0;;0;
;frederik99;27/06/2020;09/07/2020;02/10/2023;2;2;;1180;
;tiagogarcia;11/06/2020;11/06/2020;21/07/2020;2;1;;40;
;rafaelbessa;08/01/2020;08/01/2020;01/10/2023;2;0;;1362;
;silvio36;10/07/2019;10/07/2019;01/08/2019;2;0;;22;
;gustavohenrique1;14/05/2019;09/11/2020;28/11/2023;2;2;;1114;
;michelotto;19/07/2018;20/07/2018;02/12/2023;2;2;;1961;
;jacanteros;31/01/2016;31/01/2016;17/11/2023;2;1;;2847;
;milenaviana;27/11/2023;26/11/2023;26/11/2023;1;0;;0;
;bruna79274;04/11/2023;04/11/2023;04/11/2023;1;1;;0;
;arthurwsl;30/06/2023;30/06/2023;30/06/2023;1;1;;0;
;vitorbernabe;28/06/2023;30/06/2023;02/07/2023;1;0;;2;
;adrianagomes;11/06/2023;11/06/2023;11/06/2023;1;1;;0;
;thayanemota;29/04/2023;29/04/2023;29/04/2023;1;0;;0;
;gaspar_repteis;16/04/2023;16/04/2023;16/04/2023;1;1;;0;
;daniel5514;02/03/2023;02/03/2023;19/09/2023;1;1;;201;
;rsouza_25;14/02/2023;14/02/2023;14/02/2023;1;1;;0;
;andressa90;21/11/2022;21/11/2022;21/11/2022;1;0;;0;
;rodrigo-cruz;05/11/2022;05/11/2022;05/11/2022;1;0;;0;
;danillo7;07/09/2022;12/11/2022;12/11/2022;1;1;;0;
;mateus_vasconcelos;29/07/2022;02/01/2023;25/01/2023;1;1;;23;
;nelya_777;11/07/2022;11/07/2022;02/10/2023;1;1;;448;
;livia119;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;joaokkjk;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;giovana50;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;super12;04/07/2022;04/07/2022;04/07/2022;1;0;;0;
;edson102;04/07/2022;04/07/2022;04/07/2022;1;1;;0;
;taiane5;04/07/2022;04/07/2022;04/07/2022;1;0;;0;
;geraldo28;25/06/2022;15/07/2023;15/07/2023;1;1;;0;
;reginaldo12;22/06/2022;22/06/2022;22/06/2022;1;1;;0;
;constantinoferreira;07/06/2022;02/07/2022;12/06/2023;1;0;;345;
;beth753;13/03/2022;13/03/2022;13/03/2022;1;0;;0;
;talita_cristie;27/02/2022;27/03/2022;27/03/2022;1;0;;0;
;juliana_mafort;30/01/2022;30/01/2022;30/01/2022;1;0;;0;
;reginaldo10;26/01/2022;26/01/2022;26/01/2022;1;0;;0;
;victor_parente;18/01/2022;18/01/2022;18/09/2022;1;1;;243;
;guerrante;18/01/2022;17/01/2022;18/11/2023;1;0;;670;
;isabel_lima1;14/01/2022;14/01/2022;20/09/2022;1;0;;249;
;gustavo547;04/01/2022;04/01/2022;04/01/2022;1;1;;0;
;hugo_aguiar;14/12/2021;14/12/2021;14/12/2021;1;1;;0;
;daniel3465;27/11/2021;27/11/2021;27/11/2021;1;0;;0;
;pietro162;22/11/2021;22/11/2021;22/11/2021;1;0;;0;
;biologohenrique;10/11/2021;10/11/2021;10/11/2021;1;0;;0;
;beport;31/10/2021;02/11/2021;05/11/2021;1;0;;3;
;amaro3;24/10/2021;24/10/2021;24/10/2021;1;1;;0;
;ana_angelica;19/10/2021;19/10/2021;19/10/2021;1;1;;0;
;macajorge;10/08/2021;10/08/2021;10/08/2021;1;0;;0;
;luma_coelho;27/07/2021;28/07/2021;01/07/2023;1;0;;703;
;luanamauad;25/07/2021;25/07/2021;25/07/2021;1;0;;0;
;jose_ricardo1;22/07/2021;22/07/2021;22/07/2021;1;0;;0;
;gabriel_motomura;25/06/2021;25/06/2021;28/01/2023;1;0;;582;
;eric_goncalves_moraes;29/11/2020;28/11/2020;28/11/2020;1;0;;0;
;alexsandro6;23/11/2020;27/11/2020;27/11/2020;1;0;;0;
;patrice_ponchant;31/10/2020;21/09/2020;28/08/2022;1;1;;706;
;joice10;30/07/2020;30/07/2020;30/07/2020;1;0;;0;
;jane455;19/07/2020;19/07/2020;19/07/2020;1;0;;0;
;rafaellamonteiro;13/06/2020;13/06/2020;13/06/2020;1;0;;0;
;vkurtlo;07/06/2020;07/06/2020;20/11/2023;1;1;;1261;
;fredericosantosmachado;25/05/2020;27/01/2021;02/12/2023;1;1;;1039;
;alessandro_terra_paes;22/05/2020;25/07/2021;01/08/2022;1;1;;372;
;gabrielvighetto;10/05/2020;13/06/2020;19/11/2021;1;0;;524;
;danielweberling;10/03/2020;20/01/2023;20/01/2023;1;0;;0;
;lohansantos;04/03/2020;04/03/2020;18/11/2023;1;1;;1354;
;marcoapedro;27/01/2020;27/01/2020;09/02/2020;1;0;;13;
;projetophasma;23/01/2020;16/06/2020;04/12/2023;1;1;;1266;
;matheussoares1;13/01/2020;31/01/2020;12/08/2023;1;1;;1289;
