instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;inatividade;efetividade_pos
"_beabio
";beabio_;01/04/2021;31/03/2021;09/03/2023;24;12;;708;
;adelmoodesouza;23/08/2015;23/04/2015;07/03/2020;1;1;;1780;
;flavio3;28/05/2015;28/04/2015;05/07/2016;1;1;;434;
;rontavius;31/01/2011;01/04/2012;25/11/2023;1;0;;4255;
barroqueslais;barroques;06/06/2022;;;;;;0;
brennogbarros;brenno13;03/04/2023;;;;;;0;
caryne_braga;caryne;08/04/2021;;;;;;0;
jaque_wagen;jaqueline16163;25/09/2023;;;;;;0;
"julia.calanca
";juliacalanca;25/10/2023;;;;;;0;
larissasouzasg;lrssgxx;02/12/2023;;;;;02/12/2023;0;45262
"thiagocmendes
";thiago_mendes;09/03/2021;;;;;;0;
zabellacampos;;;;;;;13/05/2023;0;45059
maycruzn;mayracruzbio;13/05/2023;;;;;13/05/2023;0;45059
nayradrumond;;;;;;;13/05/2023;0;45059
Maria Fernanda Falcão;maria_fernanda199;13/05/2023;;;;;13/05/2023;0;45059
