instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;carolviiv;;;;;;12/02/2023;;;;;;;
caryne_braga;caryne;08/04/2021;;;;;;;;;;974;;
;ccostah;11/08/2019;28/12/2019;30/11/2023;1;1;;;;;Sim;1580;139;1433
;cidawerneck;18/10/2019;18/10/2019;08/11/2023;1;1;;;;;Sim;1512;0;1482
;cketherin_costa;28/10/2020;28/10/2020;26/08/2023;7;5;;;;;Sim;1136;0;1032
clairpxt;clairpxt;20/05/2023;28/05/2023;12/11/2023;32;16;;;;;Sim;;8;168
;clairpxt;20/05/2023;28/05/2023;12/11/2023;32;16;;;;;Sim;202;8;168
;clara303;13/05/2021;13/05/2021;25/10/2021;1;0;;;;;Sim;939;0;165
;claradeca;31/08/2023;31/08/2023;31/08/2023;2;2;;;;;Sim;99;0;0
;claudiomartins;06/04/2019;04/06/2019;27/11/2023;106;79;;;;;Sim;1707;59;1637
;constantinoferreira;07/06/2022;02/07/2022;12/06/2023;1;0;;;;;Sim;549;25;345
;cpa-tiatelinda;28/10/2023;28/10/2023;22/11/2023;6;2;;;;;Sim;41;0;25
;criscolodel;30/11/2020;02/12/2020;12/03/2023;1;1;;;;;Sim;1103;2;830
carolina_verdan;cverdan11;07/06/2023;07/06/2023;12/06/2023;11;2;;;;;Sim;;0;5
;cverdan11;07/06/2023;07/06/2023;12/06/2023;11;2;;;;;Sim;184;0;5
;daniel17375bio;15/09/2023;15/09/2023;27/09/2023;6;2;;;;;Sim;84;0;12
;daniel3465;27/11/2021;27/11/2021;27/11/2021;1;0;;;;;Sim;741;0;0
;daniel5514;02/03/2023;02/03/2023;19/09/2023;1;1;;;;;Sim;281;0;201
;danielweberling;10/03/2020;20/01/2023;20/01/2023;1;0;;;;;Sim;1368;1046;0
;danillo7;07/09/2022;12/11/2022;12/11/2022;1;1;;;;;Sim;457;66;0
;danmhaddad;14/07/2020;01/11/2020;20/11/2023;4;3;;;;;Sim;1242;110;1114
david.pdutra;david_paulo;11/12/2022;09/04/2023;09/04/2023;1;0;12/02/2023;Antes do curso;1;0;Sim;362;119;0
;dayse5;23/10/2021;23/10/2021;27/04/2022;2;0;;;;;Sim;776;0;186
diasleticia.m;diasleticia;28/05/2023;01/06/2023;22/09/2023;251;108;12/02/2023;;;;Sim;194;4;113
;diego_nunes;14/02/2021;10/03/2021;15/10/2022;4;3;;;;;Sim;1027;24;584
;diegojsantana;27/12/2020;28/12/2020;01/10/2023;5;3;;;;;Sim;1076;1;1007
;diegomartins;09/09/2020;09/09/2020;09/09/2020;1;0;;;;;Sim;1185;0;0
;dimgripp;22/06/2014;29/07/2020;11/01/2021;1;1;;;;;Sim;3456;2229;166
;diogoluiz;15/06/2019;15/06/2019;22/11/2023;42;31;;;;;Sim;1637;0;1621
val.diphylleiagrayi;diphylleiagrayi;12/04/2022;12/04/2022;08/10/2023;115;50;13/05/2023;;;;Sim;605;0;544
;edson102;04/07/2022;04/07/2022;04/07/2022;1;1;;;;;Sim;522;0;0
;eduardo901;28/11/2021;28/11/2021;17/05/2023;11;2;;;;;Sim;740;0;535
;edvandroabreuribeiro;05/01/2021;05/01/2021;30/11/2023;24;15;;;;;Sim;1067;0;1059
;eider_siqueira;06/06/2021;06/06/2021;06/06/2021;2;1;;;;;Sim;915;0;0
eloahsaintclair;eloahsaintclair;12/08/2022;13/05/2023;16/12/2023;5;5;13/05/2023;Depos do curso;0;5;Sim;483;274;491
;eric_goncalves_moraes;29/11/2020;29/11/2020;29/11/2020;1;0;;;;;Sim;1104;0;0
;evellin1;04/11/2021;04/11/2021;04/11/2021;8;3;;;;;Sim;764;0;0
;evely1;14/04/2021;14/04/2021;14/04/2021;1;1;;;;;Sim;968;0;0
;fabriceprugnaud;22/09/2018;28/09/2019;20/11/2023;2;1;;;;;Sim;1903;371;1514
;fabricio117;19/04/2023;05/06/2023;24/11/2023;30;15;;;;;Sim;233;47;172
;fazmatadoscocais;11/06/2019;07/07/2019;07/07/2019;1;0;;;;;Sim;1641;26;0
;felipe373;20/10/2020;20/10/2020;20/10/2020;1;0;;;;;Sim;1144;0;0
;felipe879;12/04/2023;21/06/2023;29/06/2023;2;1;;;;;Sim;240;70;8
;felipemarron;30/04/2020;30/04/2020;30/04/2020;1;0;;;;;Sim;1317;0;0
nandaporifera;fernanda_azevedo;06/12/2021;21/01/2022;31/01/2023;63;39;;;;;Sim;732;46;375
;flavio3;28/05/2015;28/05/2015;05/07/2016;1;1;;;;;Sim;3116;0;404
;flaviocbatista;29/07/2018;29/07/2018;29/07/2018;1;0;;;;;Sim;1958;0;0
;flaviomendes;07/04/2018;07/04/2018;30/11/2023;19;15;;;;;Sim;2071;0;2063
;frederico_abreu;06/02/2022;08/02/2022;14/02/2022;3;2;;;;;Sim;670;2;6
;fredericosantosmachado;25/05/2020;27/01/2021;02/12/2023;1;1;;;;;Sim;1292;247;1039
;frederik99;27/06/2020;09/07/2020;02/10/2023;2;2;;;;;Sim;1259;12;1180
;frednc22;21/01/2020;21/01/2020;24/01/2020;3;1;;;;;Sim;1417;0;3
;gabcolonese;13/09/2020;13/09/2020;17/07/2022;6;4;;;;;Sim;1181;0;672
;gabriel_motomura;25/06/2021;25/06/2021;28/01/2023;1;0;;;;;Sim;896;0;582
;gabriel_santos;14/10/2019;15/10/2019;10/10/2023;3;3;;;;;Sim;1516;1;1456
;gabriel236;11/11/2018;11/11/2018;11/11/2018;1;1;;;;;Sim;1853;0;0
;gabriela_maite;18/05/2023;18/05/2023;20/10/2023;17;10;;;;;Sim;204;0;155
;gabrielabonfim;24/04/2020;24/04/2020;28/11/2023;2;2;;;;;Sim;1323;0;1313
gajovencio;gabrieljovencio;03/04/2023;04/03/2023;13/11/2023;433;191;02/12/2023;Antes do curso;474;21;Sim;249;0;224
;gabrielly0908;14/04/2023;14/04/2023;30/06/2023;23;7;;;;;Sim;238;0;77
gabriellymaria;gabriellymaria;04/04/2023;29/06/2023;29/06/2023;1;1;;;;;Sim;248;86;0
;gabrielvighetto;10/05/2020;13/06/2020;19/11/2021;1;0;;;;;Sim;1307;34;524
;gaspar_repteis;16/04/2023;16/04/2023;16/04/2023;1;1;;;;;Sim;236;0;0
;gdelhaye;22/07/2019;22/07/2019;02/12/2023;1;0;;;;;Sim;1600;0;1594
genasciment_;genasciment_;13/05/2023;13/05/2023;13/05/2023;6;5;13/05/2023;Depos do curso;0;6;Sim;209;0;0
;geraldo28;25/06/2022;15/07/2023;15/07/2023;1;1;;;;;Sim;531;385;0
;gilmarcbj;26/05/2023;26/05/2023;29/06/2023;2;0;;;;;Sim;196;0;34
;giovana50;04/07/2022;04/07/2022;04/07/2022;1;1;;;;;Sim;522;0;0
;graziflorindo;03/12/2021;03/12/2021;26/11/2023;62;25;;;;;Sim;735;0;723
;grhifen;27/07/2023;15/08/2023;22/10/2023;2;1;;;;;Sim;134;19;68
;guerrante;18/01/2022;18/01/2022;18/11/2023;1;0;;;;;Sim;689;0;669
