instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;nelya_777;11/07/2022;11/07/2022;02/10/2023;1;1;;;;;Sim;515;0;448
;nena_bergallo;19/05/2018;27/05/2018;14/10/2023;1;0;;;;;Sim;2029;8;1966
;nonestfinis;16/02/2020;16/02/2020;18/02/2020;3;1;;;;;Sim;1391;0;2
;nunesopedro;16/05/2023;16/05/2023;17/08/2023;7;6;;;;;Sim;206;0;93
ojpedrosaf;ojpedrosaf;05/04/2023;28/04/2023;03/11/2023;30;16;;;;;Sim;247;23;189
cauapc;pablo_caua;14/03/2021;31/03/2023;04/11/2023;467;282;12/02/2023;Antes do curso;374;69;Sim;999;747;218
;pamelapequeno;16/09/2019;26/09/2019;17/06/2023;1;1;;;;;Sim;1544;10;1360
;patrice_ponchant;31/10/2020;31/10/2020;28/08/2022;1;1;;;;;Sim;1133;0;668
;patrickperson;23/04/2019;05/08/2019;02/09/2023;1;1;;;;;Sim;1690;104;1489
;paul127;20/10/2016;20/10/2016;21/11/2023;10;10;;;;;Sim;2605;0;2588
;paulocvr;05/11/2020;05/11/2020;05/11/2020;2;0;;;;;Sim;1128;0;0
;pedro_tavares_nunes;14/04/2021;08/05/2021;21/06/2021;3;2;;;;;Sim;968;24;44
;pedro991;03/06/2022;03/06/2022;20/11/2023;2;2;;;;;Sim;553;0;535
;pedrocaetano;20/07/2022;20/07/2022;16/10/2022;10;10;;;;;Sim;506;0;88
;pedrogc;17/01/2013;04/08/2021;02/11/2023;4;4;;;;;Sim;3977;3121;820
;pedroguerrams;15/03/2021;07/07/2021;03/09/2023;4;4;;;;;Sim;998;114;788
;pejota;27/01/2021;27/01/2021;28/03/2021;5;3;;;;;Sim;1045;0;60
;pfeliz;28/08/2022;28/08/2022;31/08/2022;16;2;;;;;Sim;467;0;3
phillypecaputo;phillype1;06/12/2023;13/05/2023;13/05/2023;1;0;13/05/2023;Depos do curso;0;1;Sim;2;#NÚM!;0
;pietro162;22/11/2021;22/11/2021;22/11/2021;1;0;;;;;Sim;746;0;0
;pinheiro1;31/10/2018;31/10/2018;07/02/2019;3;1;;;;;Sim;1864;0;99
;plinio_elias;25/10/2022;25/10/2022;25/10/2022;1;1;;;;;Sim;409;0;0
;projetomantis;26/06/2018;04/11/2019;20/08/2023;6;2;;;;;Sim;1991;496;1385
;projetophasma;23/01/2020;16/06/2020;04/12/2023;1;1;;;;;Sim;1415;145;1266
;r_a_b;15/01/2019;29/01/2019;21/10/2023;33;15;;;;;Sim;1788;14;1726
;rafaelbessa;08/01/2020;08/01/2020;20/11/2023;2;0;;;;;Sim;1430;0;1412
;rafaellamonteiro;13/06/2020;13/06/2020;13/06/2020;1;0;;;;;Sim;1273;0;0
;rafaelrez;22/08/2020;22/08/2020;18/08/2023;11;6;;;;;Sim;1203;0;1091
;rafaeltravassos;21/11/2019;24/11/2019;03/12/2023;3;2;;;;;Sim;1478;3;1470
;raissa40;13/12/2022;13/12/2022;13/12/2022;1;0;;;;;Sim;360;0;0
;ramona_andrade_xavier;30/09/2020;30/09/2020;30/09/2020;1;0;;;;;Sim;1164;0;0
;rao22;26/12/2022;26/12/2022;31/12/2022;1;1;;;;;Sim;347;0;5
;raphaelsneves;30/10/2022;30/10/2022;30/07/2023;1;1;;;;;Sim;404;0;273
;raquelrenno;13/04/2022;13/04/2022;27/02/2023;2;2;;;;;Sim;604;0;320
;rayssatavares;14/04/2023;14/04/2023;30/06/2023;20;11;;;;;Sim;238;0;77
;rebio-uniao;26/12/2022;26/12/2022;20/03/2023;2;2;;;;;Sim;347;0;84
;regildo;29/08/2021;29/08/2021;29/08/2021;2;0;;;;;Sim;831;0;0
;reginaldo10;26/01/2022;26/01/2022;26/01/2022;1;0;;;;;Sim;681;0;0
;reginaldo12;22/06/2022;22/06/2022;22/06/2022;1;1;;;;;Sim;534;0;0
;ricardo375;04/08/2019;04/08/2019;04/08/2019;1;0;;;;;Sim;1587;0;0
;roberthagiohana;08/04/2023;13/04/2023;13/06/2023;8;4;;;;;Sim;244;5;61
;robson56;02/11/2022;03/12/2022;24/04/2023;2;0;;;;;Sim;401;31;142
;rodneyf;29/05/2019;29/05/2019;24/11/2023;8;7;;;;;Sim;1654;0;1640
;rodrigo-cruz;05/11/2022;05/11/2022;05/11/2022;1;0;;;;;Sim;398;0;0
;rodrigotinoco;30/01/2012;19/04/2021;19/01/2023;25;18;;;;;Sim;4330;3367;640
;rogeriopeccioli;16/05/2023;16/05/2023;26/07/2023;39;25;;;;;Sim;206;0;71
;rogerriodias;21/03/2015;21/11/2020;29/11/2023;23;14;;;;;Sim;3184;2072;1103
;rontavius;31/01/2011;20/08/2012;25/11/2023;1;0;;;;;Sim;4694;567;4114
;rosalaura;02/04/2023;05/08/2023;15/10/2023;25;18;;;;;Sim;250;125;71
;rovaniflresdelima;22/05/2020;03/06/2020;08/02/2023;3;0;;;;;Sim;1295;12;980
;rsouza_25;14/02/2023;14/02/2023;14/02/2023;1;1;;;;;Sim;297;0;0
;samuel639;07/09/2021;07/09/2021;07/09/2021;1;1;;;;;Sim;822;0;0
;samuelbneves;18/05/2023;18/05/2023;28/11/2023;20;11;;;;;Sim;204;0;194
;sejanaturalista;21/12/2020;22/12/2020;20/02/2022;2;1;;;;;Sim;1082;1;425
;sergio438;17/05/2020;17/05/2020;17/05/2020;1;0;;;;;Sim;1300;0;0
;sergio938;17/06/2022;10/01/2023;10/10/2023;4;4;;;;;Sim;539;207;273
;silvio36;10/07/2019;10/07/2019;08/12/2019;2;0;;;;;Sim;1612;0;151
;simonne_teixeira;16/04/2022;16/04/2022;18/11/2023;1;0;;;;;Sim;601;0;581
;soutonm;14/07/2023;14/07/2023;09/11/2023;16;6;;;;;Sim;147;0;118
;srramos;23/04/2020;23/04/2020;23/04/2020;1;0;;;;;Sim;1324;0;0
;ssmeds;23/08/2021;23/08/2021;12/11/2023;26;16;;;;;Sim;837;0;811
;stephany30642;27/10/2023;27/10/2023;01/12/2023;1;1;;;;;Sim;42;0;35
;super12;04/07/2022;04/07/2022;04/07/2022;1;0;;;;;Sim;522;0;0
;taiane5;04/07/2022;04/07/2022;04/07/2022;1;0;;;;;Sim;522;0;0
;talita_cristie;27/02/2022;27/03/2022;27/03/2022;1;0;;;;;Sim;649;28;0
;tati_xavier;04/12/2020;05/12/2020;26/06/2023;4;2;;;;;Sim;1099;1;933
amobichofeio;thallithestickbug;23/10/2019;23/10/2019;09/04/2023;258;86;12/02/2023;;;;Sim;1507;0;1264
;thanial;31/08/2020;31/08/2020;31/08/2020;1;1;;;;;Sim;1194;0;0
;thayanemota;29/04/2023;29/04/2023;29/04/2023;1;0;;;;;Sim;223;0;0
;theo163;31/10/2021;31/10/2021;18/06/2022;6;2;;;;;Sim;768;0;230
thiagocmendes;thiago_mendes;09/03/2021;;;;;;;;;;1004;;
;thiagolyra;27/06/2022;27/06/2022;21/11/2023;32;21;;;;;Sim;529;0;512
;thiagotapias;28/12/2022;28/12/2022;28/07/2023;1;1;;;;;Sim;345;0;212
;thiciana_sasse;23/01/2021;23/01/2021;11/06/2023;18;11;;;;;Sim;1049;0;869
;tiagogarcia;11/06/2020;11/06/2020;21/07/2020;2;1;;;;;Sim;1275;0;40
;tnecc;26/01/2020;26/01/2020;24/02/2020;5;4;;;;;Sim;1412;0;29
;urielbio_;26/12/2021;21/06/2022;21/06/2022;1;1;;;;;Sim;712;177;0
;vanessa_trally;29/08/2023;29/08/2023;13/09/2023;4;4;;;;;Sim;101;0;15
;vechisholm;21/07/2017;23/07/2017;20/08/2023;5;5;;;;;Sim;2331;2;2219
;veronicareis;21/09/2020;21/09/2020;27/05/2021;1;0;;;;;Sim;1173;0;258
;vicentebernard;29/09/2019;04/11/2019;24/01/2023;8;3;;;;;Sim;1531;36;1177
;victor_parente;18/01/2022;18/01/2022;18/09/2022;1;1;;;;;Sim;689;0;234
;victoria61;21/08/2017;21/08/2017;21/11/2023;2;0;;;;;Sim;2300;0;2283
;victormedella;10/01/2020;18/09/2020;14/11/2023;3;3;;;;;Sim;1428;252;1152
;victorsartrio;18/02/2020;21/04/2023;21/04/2023;1;1;;;;;Sim;1389;1158;0
;vinicius144;09/12/2021;09/12/2021;07/09/2022;2;1;;;;;Sim;729;0;272
;vitorbernabe;28/06/2023;30/06/2023;02/07/2023;1;0;;;;;Sim;163;2;2
;vkurtlo;07/06/2020;07/06/2020;20/11/2023;1;1;;;;;Sim;1279;0;1261
;voltz;01/12/2020;01/12/2020;15/01/2023;1;0;;;;;Sim;1102;0;775
;wcostarodrigues;22/04/2018;22/04/2018;21/08/2023;1;1;;;;;Sim;2056;0;1947
;xrvictorsilva;24/08/2022;24/08/2022;02/12/2023;2;2;;;;;Sim;471;0;465
;yagotelles;18/02/2020;18/02/2020;04/05/2020;45;18;;;;;Sim;1389;0;76
;yagotelles1;16/07/2020;16/07/2020;10/06/2023;19;6;;;;;Sim;1240;0;1059
yaixx_ff;yaixx;13/05/2023;13/05/2023;14/05/2023;14;10;13/05/2023;Depos do curso;0;14;Sim;209;0;1
;yandra2;18/01/2023;21/01/2023;03/12/2023;14;5;;;;;Sim;324;3;316
;yasmin_simoes;29/10/2020;29/10/2020;29/10/2020;1;0;;;;;Sim;1135;0;0
;yasmincordeiro;21/05/2023;21/05/2023;30/10/2023;2;0;;;;;Sim;201;0;162
zabellacampos;zabellacampos;;;;;;13/05/2023;;;;;08/12/2023;;
;;;;;;;;;;;;;;
nayradrumond;;;;;;;13/05/2023;;;;;45268;0;0
