Tetraginisca angustula
Tetragonisca angustula
Thomisidae
Thraupini emberizini
Thraupis palmarum
Thraupis sayaca
Thunbergia alata
Tillandsia stricta
Todirostrum cinereum
Trametes sanguinea
Trema micrantha
Trianthema portulacastrum
Tridax procumbens
Trigona snpinipes
Trigona spinipes
Triplaris americana
Trochilidae
Trochosa
Troglodytes aedon
Tropidurus torquato
Tropidurus torquatus
Turdus leucomelas
Turdus rufiventris
Turnera subulata
Tyrannus melancholicus
Tyrannus savana
Usnea
Vanellus chilensis
Varronia curassavica
Vespidae
Volatinia jacarina
Xyleus
Xylocopa frontalis
Youngia japonica
Zenaida auriculata
Zephyranthes candida
Zonotrichia capensis
Zornia
Zornia latifolia
